Instance,Algorithm,Iterations to 1%,Seconds to 1%,Runs reaching 1%,Iterations to 2%,Seconds to 2%,Runs reaching 2%
P-n16-k8,aco,1,0.010,10/10,1,0.010,10/10
P-n16-k8,ga,1,0.049,10/10,1,0.049,10/10
P-n16-k8,ortools,10,0.009,10/10,10,0.009,10/10
P-n16-k8,pso,1,0.039,10/10,1,0.039,10/10
P-n16-k8,pyvrp,0,0.000,10/10,0,0.000,10/10
P-n16-k8,qiea,1,0.014,10/10,1,0.014,10/10
P-n16-k8,qpso,1,0.293,10/10,1,0.293,10/10
P-n16-k8,random,1,0.006,10/10,1,0.006,10/10
P-n16-k8,sa,1,0.025,10/10,1,0.022,10/10
P-n23-k8,aco,1,0.016,10/10,1,0.012,10/10
P-n23-k8,ga,1,0.082,10/10,1,0.082,10/10
P-n23-k8,ortools,180,1.434,10/10,110,0.754,10/10
P-n23-k8,pso,1,0.076,10/10,1,0.076,10/10
P-n23-k8,pyvrp,10,0.003,10/10,0,0.001,10/10
P-n23-k8,qiea,1,0.028,10/10,1,0.028,10/10
P-n23-k8,qpso,1,0.077,10/10,1,0.077,10/10
P-n23-k8,random,1,0.012,10/10,1,0.012,10/10
P-n23-k8,sa,11,0.095,10/10,1,0.029,10/10
A-n32-k5,aco,1,0.015,10/10,1,0.015,10/10
A-n32-k5,ga,1,0.139,10/10,1,0.139,10/10
A-n32-k5,ortools,740,6.582,10/10,40,0.068,10/10
A-n32-k5,pso,1,0.177,10/10,1,0.177,10/10
A-n32-k5,pyvrp,15,0.011,10/10,15,0.011,10/10
A-n32-k5,qiea,1,0.040,10/10,1,0.040,10/10
A-n32-k5,qpso,1,0.118,10/10,1,0.118,10/10
A-n32-k5,random,6,0.115,10/10,1,0.022,10/10
A-n32-k5,sa,16,0.146,10/10,11,0.104,10/10
A-n33-k5,aco,1,0.014,10/10,1,0.014,10/10
A-n33-k5,ga,1,0.138,10/10,1,0.138,10/10
A-n33-k5,ortools,140,0.908,10/10,50,0.147,10/10
A-n33-k5,pso,1,0.116,10/10,1,0.116,10/10
A-n33-k5,pyvrp,10,0.006,10/10,10,0.006,10/10
A-n33-k5,qiea,1,0.052,10/10,1,0.052,10/10
A-n33-k5,qpso,1,0.117,10/10,1,0.117,10/10
A-n33-k5,random,1,0.020,10/10,1,0.020,10/10
A-n33-k5,sa,11,0.102,10/10,11,0.101,10/10
A-n37-k5,aco,1,0.017,10/10,1,0.017,10/10
A-n37-k5,ga,1,0.158,10/10,1,0.158,10/10
A-n37-k5,ortools,40,0.060,10/10,40,0.060,10/10
A-n37-k5,pso,1,0.137,10/10,1,0.137,10/10
A-n37-k5,pyvrp,15,0.013,10/10,10,0.006,10/10
A-n37-k5,qiea,1,0.042,10/10,1,0.042,10/10
A-n37-k5,qpso,1,0.138,10/10,1,0.138,10/10
A-n37-k5,random,1,0.024,10/10,1,0.024,10/10
A-n37-k5,sa,11,0.100,10/10,11,0.100,10/10
A-n39-k5,aco,11,0.207,10/10,11,0.187,10/10
A-n39-k5,ga,1,0.192,10/10,1,0.192,10/10
A-n39-k5,ortools,not reached,not reached,0/10,1000,11.047,10/10
A-n39-k5,pso,1,0.179,10/10,1,0.179,10/10
A-n39-k5,pyvrp,30,0.022,10/10,10,0.008,10/10
A-n39-k5,qiea,1,0.052,10/10,1,0.050,10/10
A-n39-k5,qpso,1,0.176,10/10,1,0.170,10/10
A-n39-k5,random,11,0.298,10/10,1,0.025,10/10
A-n39-k5,sa,11,0.135,10/10,11,0.098,10/10
A-n45-k7,aco,11,0.294,10/10,1,0.040,10/10
A-n45-k7,ga,1,0.280,10/10,1,0.240,10/10
A-n45-k7,ortools,240,3.587,10/10,40,0.177,10/10
A-n45-k7,pso,11,1.215,10/10,11,1.157,10/10
A-n45-k7,pyvrp,45,0.050,10/10,10,0.018,10/10
A-n45-k7,qiea,11,0.709,10/10,1,0.071,10/10
A-n45-k7,qpso,11,1.212,10/10,1,0.253,10/10
A-n45-k7,random,16,0.694,10/10,11,0.429,10/10
A-n45-k7,sa,141,1.610,10/10,46,0.566,10/10
B-n50-k7,aco,1,0.018,10/10,1,0.018,10/10
B-n50-k7,ga,1,0.235,10/10,1,0.235,10/10
B-n50-k7,ortools,60,0.211,10/10,60,0.211,10/10
B-n50-k7,pso,1,0.195,10/10,1,0.195,10/10
B-n50-k7,pyvrp,10,0.008,10/10,0,0.001,10/10
B-n50-k7,qiea,1,0.045,10/10,1,0.045,10/10
B-n50-k7,qpso,1,0.169,10/10,1,0.169,10/10
B-n50-k7,random,1,0.036,10/10,1,0.034,10/10
B-n50-k7,sa,11,0.117,10/10,1,0.037,10/10
A-n54-k7,aco,11,0.335,10/10,1,0.065,10/10
A-n54-k7,ga,1,0.383,10/10,1,0.320,10/10
A-n54-k7,ortools,not reached,not reached,0/10,not reached,not reached,0/10
A-n54-k7,pso,6,0.891,10/10,1,0.265,10/10
A-n54-k7,pyvrp,130,0.120,10/10,30,0.030,10/10
A-n54-k7,qiea,11,0.834,10/10,1,0.079,10/10
A-n54-k7,qpso,11,1.526,10/10,1,0.273,10/10
A-n54-k7,random,16,0.780,10/10,11,0.482,10/10
A-n54-k7,sa,106,1.567,10/10,21,0.278,10/10
A-n65-k9,aco,11,0.373,10/10,11,0.348,10/10
A-n65-k9,ga,11,1.365,10/10,1,0.385,10/10
A-n65-k9,ortools,not reached,not reached,0/10,not reached,not reached,0/10
A-n65-k9,pso,11,2.068,10/10,6,1.073,10/10
A-n65-k9,pyvrp,80,0.077,10/10,35,0.053,10/10
A-n65-k9,qiea,11,1.098,10/10,6,0.580,10/10
A-n65-k9,qpso,21,3.354,10/10,1,0.317,10/10
A-n65-k9,random,21,1.111,10/10,11,0.606,10/10
A-n65-k9,sa,316,3.716,10/10,41,0.502,10/10
P-n76-k4,aco,21,1.038,9/10,11,0.517,10/10
P-n76-k4,ga,21,2.762,10/10,11,1.333,10/10
