Instance,Size,Best known,aco,ga,ortools,pso,pyvrp,qiea,qpso,random,sa,Best on row
P-n16-k8,16,450,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),tie (all equal)
P-n23-k8,23,529,1.08 (0.00),0.76 (0.00),0.00 (0.00),0.19 (0.00),0.00 (0.00),0.00 (0.00),1.08 (0.00),0.98 (0.00),1.08 (0.00),"ortools, pyvrp, qiea"
A-n32-k5,32,784,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),tie (all equal)
A-n33-k5,33,661,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),tie (all equal)
A-n37-k5,37,669,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),tie (all equal)
A-n39-k5,39,822,0.00 (0.00),0.00 (0.00),1.68 (1.46),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),"aco, ga, pso, pyvrp, qiea, qpso, random, sa"
A-n45-k7,45,1146,0.02 (0.00),0.00 (0.00),0.35 (0.35),0.12 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.20 (0.00),0.24 (0.00),"ga, pyvrp, qiea, qpso"
B-n50-k7,50,741,0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),0.00 (0.00),tie (all equal)
A-n54-k7,54,1167,0.06 (0.00),0.00 (0.00),3.98 (3.86),0.06 (0.00),0.04 (0.00),0.00 (0.00),0.00 (0.00),0.09 (0.00),0.05 (0.00),"ga, qiea, qpso"
A-n65-k9,65,1174,0.33 (0.26),0.24 (0.00),3.75 (3.75),0.49 (0.00),0.17 (0.00),0.32 (0.26),0.56 (0.26),0.58 (0.34),0.36 (0.26),pyvrp
P-n76-k4,76,593,0.17 (0.00),0.13 (0.00),3.04 (3.04),0.79 (0.17),0.47 (0.17),0.19 (0.00),0.34 (0.00),1.15 (0.34),0.98 (0.17),ga
B-n78-k10,78,1221,0.32 (0.25),0.47 (0.08),2.70 (2.70),2.19 (1.56),0.04 (0.00),0.33 (0.16),1.27 (0.25),1.94 (0.90),1.34 (0.49),pyvrp
A-n80-k10,80,1763,0.24 (0.06),0.57 (0.06),3.63 (3.63),1.93 (1.25),0.45 (0.00),0.51 (0.06),1.40 (1.02),2.31 (1.70),1.84 (1.25),aco
P-n101-k4,101,681,0.03 (0.00),0.00 (0.00),2.50 (2.50),0.23 (0.00),0.10 (0.00),0.00 (0.00),0.12 (0.00),0.73 (0.15),0.70 (0.15),"ga, qiea"
X-n101-k25,101,27591,2.08 (1.34),1.25 (1.09),5.50 (5.50),2.06 (1.71),0.42 (0.00),1.62 (1.26),1.87 (1.09),2.42 (1.90),1.95 (1.54),pyvrp
X-n153-k22,153,21220,5.81 (4.22),5.02 (3.86),—,6.12 (3.41),0.70 (0.42),5.94 (4.15),4.85 (2.05),6.91 (5.21),3.95 (2.79),pyvrp
X-n200-k36,200,58578,2.96 (2.44),2.85 (2.57),3.70 (3.70),3.36 (3.01),1.55 (0.63),2.92 (2.70),3.30 (2.94),3.39 (3.18),3.49 (3.09),pyvrp
