Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
P-n16-k8,16,450,aco,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,ga,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,ortools,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,pso,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,pyvrp,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,qiea,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,qpso,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,random,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n16-k8,16,450,sa,10,10,450.00,450.00,450.00,0.00,450.00,0.00,0.00
P-n23-k8,23,529,aco,10,10,529.00,534.70,529.00,16.34,581.00,0.00,1.08
P-n23-k8,23,529,ga,10,10,529.00,533.00,529.00,11.01,564.00,0.00,0.76
P-n23-k8,23,529,ortools,10,10,529.00,529.00,529.00,0.00,529.00,0.00,0.00
P-n23-k8,23,529,pso,10,10,529.00,530.00,529.00,2.11,534.00,0.00,0.19
P-n23-k8,23,529,pyvrp,10,10,529.00,529.00,529.00,0.00,529.00,0.00,0.00
P-n23-k8,23,529,qiea,10,10,529.00,529.00,529.00,0.00,529.00,0.00,0.00
P-n23-k8,23,529,qpso,10,10,529.00,534.70,529.00,16.34,581.00,0.00,1.08
P-n23-k8,23,529,random,10,10,529.00,534.20,529.00,16.44,581.00,0.00,0.98
P-n23-k8,23,529,sa,10,10,529.00,534.70,529.00,16.34,581.00,0.00,1.08
A-n32-k5,32,784,aco,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,ga,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,ortools,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,pso,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,pyvrp,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,qiea,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,qpso,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,random,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,sa,10,10,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n33-k5,33,661,aco,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,ga,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,ortools,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,pso,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,pyvrp,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,qiea,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,qpso,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,random,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n33-k5,33,661,sa,10,10,661.00,661.00,661.00,0.00,661.00,0.00,0.00
A-n37-k5,37,669,aco,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,ga,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,ortools,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,pso,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,pyvrp,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,qiea,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,qpso,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,random,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n37-k5,37,669,sa,10,10,669.00,669.00,669.00,0.00,669.00,0.00,0.00
A-n39-k5,39,822,aco,10,10,822.00,822.00,822.00,0.00,822.00,0.00,0.00
A-n39-k5,39,822,ga,10,10,822.00,822.00,822.00,0.00,822.00,0.00,0.00
