Instance,Algorithm,Iterations to 1%,Seconds to 1%,Runs reaching 1%,Iterations to 2%,Seconds to 2%,Runs reaching 2%
A-n60-k9,ga,4,1.535,2/2,1,0.896,2/2
A-n60-k9,pso,5,2.694,1/2,1,1.297,2/2
A-n60-k9,qpso,1,1.373,1/2,1,1.373,1/2
A-n60-k9,random,8,0.996,1/2,4,0.419,2/2
A-n60-k9,sa,15,0.483,1/2,36,1.018,2/2
B-n64-k9,ga,3,1.319,1/2,2,1.044,2/2
B-n64-k9,pso,3,1.325,1/2,2,1.182,2/2
B-n64-k9,qpso,not reached,not reached,0/2,not reached,not reached,0/2
B-n64-k9,random,not reached,not reached,0/2,12,1.482,2/2
B-n64-k9,sa,not reached,not reached,0/2,51,1.415,2/2
P-n76-k5,ga,4,1.647,2/2,2,1.267,2/2
P-n76-k5,pso,not reached,not reached,0/2,not reached,not reached,0/2
P-n76-k5,qpso,not reached,not reached,0/2,not reached,not reached,0/2
P-n76-k5,random,6,0.888,1/2,6,0.892,2/2
P-n76-k5,sa,not reached,not reached,0/2,not reached,not reached,0/2
A-n80-k10,ga,not reached,not reached,0/2,1,1.336,1/2
A-n80-k10,pso,not reached,not reached,0/2,not reached,not reached,0/2
A-n80-k10,qpso,not reached,not reached,0/2,not reached,not reached,0/2
A-n80-k10,random,not reached,not reached,0/2,not reached,not reached,0/2
A-n80-k10,sa,not reached,not reached,0/2,not reached,not reached,0/2
