Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
A-n60-k9,60,1354,ga,2,2,1358.00,1358.50,1358.50,0.71,1359.00,0.30,0.33
A-n60-k9,60,1354,pso,2,2,1363.00,1365.50,1365.50,3.54,1368.00,0.66,0.85
A-n60-k9,60,1354,qpso,2,2,1366.00,1377.50,1377.50,16.26,1389.00,0.89,1.74
A-n60-k9,60,1354,random,2,2,1366.00,1367.00,1367.00,1.41,1368.00,0.89,0.96
A-n60-k9,60,1354,sa,2,2,1364.00,1367.00,1367.00,4.24,1370.00,0.74,0.96
B-n64-k9,64,861,ga,2,2,887.00,948.50,948.50,86.97,1010.00,3.02,10.16
B-n64-k9,64,861,pso,2,2,889.00,900.50,900.50,16.26,912.00,3.25,4.59
B-n64-k9,64,861,qpso,2,2,906.00,907.00,907.00,1.41,908.00,5.23,5.34
B-n64-k9,64,861,random,2,2,915.00,920.50,920.50,7.78,926.00,6.27,6.91
B-n64-k9,64,861,sa,2,2,887.00,900.00,900.00,18.38,913.00,3.02,4.53
P-n76-k5,76,627,ga,2,2,630.00,631.50,631.50,2.12,633.00,0.48,0.72
P-n76-k5,76,627,pso,2,2,643.00,646.00,646.00,4.24,649.00,2.55,3.03
P-n76-k5,76,627,qpso,2,2,645.00,645.50,645.50,0.71,646.00,2.87,2.95
P-n76-k5,76,627,random,2,2,633.00,635.00,635.00,2.83,637.00,0.96,1.28
P-n76-k5,76,627,sa,2,2,640.00,641.00,641.00,1.41,642.00,2.07,2.23
A-n80-k10,80,1763,ga,2,2,1788.00,1800.50,1800.50,17.68,1813.00,1.42,2.13
A-n80-k10,80,1763,pso,2,2,1818.00,1828.50,1828.50,14.85,1839.00,3.12,3.72
A-n80-k10,80,1763,qpso,2,2,1814.00,1821.50,1821.50,10.61,1829.00,2.89,3.32
A-n80-k10,80,1763,random,2,2,1823.00,1829.00,1829.00,8.49,1835.00,3.40,3.74
A-n80-k10,80,1763,sa,2,2,1840.00,1844.00,1844.00,5.66,1848.00,4.37,4.59
