Instance,Algorithm,Iterations to 1%,Seconds to 1%,Runs reaching 1%,Iterations to 2%,Seconds to 2%,Runs reaching 2%
A-n32-k5,ga,1,0.302,5/5,1,0.302,5/5
A-n32-k5,pso,1,0.968,5/5,1,0.968,5/5
A-n32-k5,qpso,1,1.075,5/5,1,1.060,5/5
A-n32-k5,qpso-nols,1,1.690,5/5,1,1.572,5/5
A-n32-k5,random,1,0.045,5/5,1,0.045,5/5
A-n45-k7,ga,5,1.989,5/5,1,0.997,5/5
A-n45-k7,pso,3,1.022,4/5,1,0.580,5/5
A-n45-k7,qpso,8,1.856,5/5,2,0.638,5/5
A-n45-k7,qpso-nols,8,4.192,4/5,3,1.758,5/5
A-n45-k7,random,22,3.872,4/5,12,1.774,4/5
A-n80-k10,ga,not reached,not reached,0/5,10,3.763,4/5
A-n80-k10,pso,not reached,not reached,0/5,5,2.844,1/5
A-n80-k10,qpso,not reached,not reached,0/5,not reached,not reached,0/5
A-n80-k10,qpso-nols,not reached,not reached,0/5,not reached,not reached,0/5
A-n80-k10,random,not reached,not reached,0/5,not reached,not reached,0/5
