Instance,Size,Best known,Algorithm,Runs,Feasible runs,Best cost,Mean cost,Median cost,Std dev,Worst cost,Best gap %,Mean gap %
A-n32-k5,32,784,ga,5,5,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,pso,5,5,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,qpso,5,5,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,qpso-nols,5,5,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n32-k5,32,784,random,5,5,784.00,784.00,784.00,0.00,784.00,0.00,0.00
A-n45-k7,45,1146,ga,5,5,1146.00,1148.20,1147.00,2.77,1153.00,0.00,0.19
A-n45-k7,45,1146,pso,5,5,1148.00,1152.80,1152.00,4.97,1161.00,0.17,0.59
A-n45-k7,45,1146,qpso,5,5,1146.00,1150.20,1150.00,4.32,1157.00,0.00,0.37
A-n45-k7,45,1146,qpso-nols,5,5,1146.00,1152.00,1151.00,5.61,1160.00,0.00,0.52
A-n45-k7,45,1146,random,5,5,1146.00,1155.80,1153.00,10.13,1173.00,0.00,0.86
A-n80-k10,80,1763,ga,5,5,1786.00,1790.60,1788.00,5.41,1799.00,1.30,1.57
A-n80-k10,80,1763,pso,5,5,1796.00,1806.60,1809.00,7.96,1817.00,1.87,2.47
A-n80-k10,80,1763,qpso,5,5,1812.00,1821.80,1819.00,10.64,1840.00,2.78,3.34
A-n80-k10,80,1763,qpso-nols,5,5,1817.00,1825.60,1820.00,13.76,1850.00,3.06,3.55
A-n80-k10,80,1763,random,5,5,1815.00,1823.60,1822.00,7.02,1834.00,2.95,3.44
