Tier,Algorithm,Instances,Runs,Mean gap %,Runs at best known,Mean seconds
small (< 50 nodes),ga,2,10,0.10,6/10,8.113
small (< 50 nodes),pso,2,10,0.30,5/10,8.120
small (< 50 nodes),qpso,2,10,0.18,6/10,8.077
small (< 50 nodes),qpso-nols,2,10,0.26,6/10,8.118
small (< 50 nodes),random,2,10,0.43,6/10,8.060
medium (50-99 nodes),ga,1,5,1.57,0/5,8.220
medium (50-99 nodes),pso,1,5,2.47,0/5,8.333
medium (50-99 nodes),qpso,1,5,3.34,0/5,8.325
medium (50-99 nodes),qpso-nols,1,5,3.55,0/5,8.332
medium (50-99 nodes),random,1,5,3.44,0/5,8.154
